Duration,Total_Number_Of_Vehicle,Total_Adjusted_Car,Total_Collided_Car,Total_Passed_Car,Total_AdjustedNot_CollidedCar,totalCollidedNotAdjustedCar,totalAdjustedButCollidedCar,totalAdjustedAndPassedCar
10.0,8,0,0,0,0,0,0,0
20.0,8,4,0,0,4,0,0,0
30.0,12,7,0,3,7,0,0,2
40.0,12,8,0,6,8,0,0,5
50.0,20,9,1,8,8,0,1,7
60.0,20,11,1,12,10,0,1,9
70.0,24,15,3,14,12,0,3,11
80.0,24,18,4,17,14,0,4,14
90.0,32,20,5,21,15,0,5,17
100.0,32,25,6,21,19,0,6,17
110.0,36,27,8,25,19,0,8,21
120.0,36,28,9,27,19,0,9,23
130.0,44,32,11,30,21,0,11,26
140.0,44,35,11,32,24,0,11,28
150.0,48,37,11,38,26,0,11,33
160.0,48,41,11,39,30,0,11,34
170.0,56,42,12,43,30,0,12,38
180.0,56,47,12,43,35,0,12,38
190.0,60,50,13,48,37,0,13,42
200.0,60,51,13,51,38,0,13,45
210.0,60,53,14,56,39,0,14,49
220.0,60,53,14,57,39,0,14,50
230.0,60,53,14,58,39,0,14,51
240.0,60,53,14,58,39,0,14,51
250.0,60,53,14,58,39,0,14,51
260.0,60,53,14,58,39,0,14,51
270.0,60,53,14,58,39,0,14,51
280.0,60,53,14,58,39,0,14,51
290.0,60,53,14,59,39,0,14,52
300.0,60,53,14,59,39,0,14,52
310.0,60,53,14,59,39,0,14,52
320.0,60,53,14,59,39,0,14,52
330.0,60,53,14,59,39,0,14,52
340.0,60,53,14,59,39,0,14,52
350.0,60,53,14,60,39,0,14,53
360.0,60,53,14,60,39,0,14,53
370.0,60,53,14,60,39,0,14,53
380.0,60,53,14,60,39,0,14,53
390.0,60,53,14,60,39,0,14,53
400.0,60,53,14,60,39,0,14,53
410.0,60,53,14,60,39,0,14,53
420.0,60,53,14,60,39,0,14,53
430.0,60,53,14,60,39,0,14,53
440.0,60,53,14,60,39,0,14,53
450.0,60,53,14,60,39,0,14,53
460.0,60,53,14,60,39,0,14,53
470.0,60,53,14,60,39,0,14,53
480.0,60,53,14,60,39,0,14,53
490.0,60,53,14,60,39,0,14,53
